Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DWV;Eigner;Bemerkung;geopos;lod
AF;Affoltern am Albis;2014-01-01;7500;8700.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.276064074, 8.44658239143;http://lod.opentransportdata.swiss/didok/8502224
ARN;Arnegg;2014-01-01;210;240.0;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.4420020412, 9.25200601938;http://lod.opentransportdata.swiss/didok/8506211
AST;Alpnachstad;2014-01-01;460;410.0;ZB;Ohne PB.;46.9550392879, 8.2778329759;http://lod.opentransportdata.swiss/didok/8508317
AA;Aarau;2014-01-01;35900;42000.0;SBB;Ohne WSB.;47.3913553369, 8.05125354274;http://lod.opentransportdata.swiss/didok/8502113
BAAN;Baar Neufeld;2014-01-01;840;1200.0;SBB;;47.1884876743, 8.51775897551;http://lod.opentransportdata.swiss/didok/8515992
ADF;Alpnach Dorf;2014-01-01;1400;1600.0;ZB;;46.9406471179, 8.27524412618;http://lod.opentransportdata.swiss/didok/8508316
AI;Airolo;2014-01-01;540;520.0;FFS;;46.5275264817, 8.6086051345;http://lod.opentransportdata.swiss/didok/8505201
AUSG;Au SG;2014-01-01;290;330.0;SBB;;47.4361134139, 9.64124454757;http://lod.opentransportdata.swiss/didok/8506316
BERG;Berg;2014-01-01;380;440.0;THURBO;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5822523245, 9.17451078978;http://lod.opentransportdata.swiss/didok/8506194
BIR;Birmensdorf ZH;2014-01-01;4000;4600.0;SBB;;47.3574317945, 8.4375437434;http://lod.opentransportdata.swiss/didok/8502221
BEL;Bellinzona;2014-01-01;13400;15000.0;FFS;;46.195436816, 9.02950898687;http://lod.opentransportdata.swiss/didok/8505213
BTW;Bettwiesen;2014-01-01;200;240.0;THURBO;;47.498616599, 9.02076959637;http://lod.opentransportdata.swiss/didok/8506182
BF;Belfaux CFF;2014-01-01;360;450.0;CFF;;46.8169170976, 7.10622789234;http://lod.opentransportdata.swiss/didok/8504139
BIB;Biberbrugg;2014-01-01;2600;2800.0;SOB;;47.1563731698, 8.72269985597;http://lod.opentransportdata.swiss/didok/8503284
BIM;Biel Mett;2014-01-01;570;710.0;SBB;;47.1447131206, 7.27247559035;http://lod.opentransportdata.swiss/didok/8504419
BIGG;Biberegg;2014-01-01;50;50.0;SOB;;47.0933123123, 8.66913007113;http://lod.opentransportdata.swiss/didok/8503290
BAV;Bavois;2014-01-01;170;190.0;CFF;;46.6876714456, 6.55933195932;http://lod.opentransportdata.swiss/didok/8501113
BLL;Ballwil;2014-01-01;590;670.0;SBB;;47.1537643847, 8.31688138659;http://lod.opentransportdata.swiss/didok/8502023
BZS;Bischofszell Stadt;2014-01-01;920;1100.0;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.4921416385, 9.24146504156;http://lod.opentransportdata.swiss/didok/8506213
CHF;Châteauneuf-Conthey;2014-01-01;600;750.0;CFF;;46.2161054868, 7.30510604689;http://lod.opentransportdata.swiss/didok/8501510
BOS;Boswil-Bünzen;2014-01-01;750;880.0;SBB;;47.305174603, 8.31527271204;http://lod.opentransportdata.swiss/didok/8502214
BOSS;Bossière;2014-01-01;220;260.0;CFF;;46.5097374876, 6.69932418234;http://lod.opentransportdata.swiss/didok/8504003
BGH;Burghalden;2014-01-01;920;1100.0;SOB;;47.2086734144, 8.6926955866;http://lod.opentransportdata.swiss/didok/8503287
BURI;Burier;2014-01-01;970;1300.0;CFF;;46.4478763825, 6.87711567196;http://lod.opentransportdata.swiss/didok/8501202
BG;Brugg AG;2014-01-01;20000;23800.0;SBB;;47.4808528316, 8.20882744791;http://lod.opentransportdata.swiss/didok/8500309
BUB;Bubikon;2014-01-01;5100;6000.0;SBB;;47.2708395927, 8.82270102308;http://lod.opentransportdata.swiss/didok/8503122
BOLE;Bôle;2014-01-01;310;350.0;CFF;;46.9689572835, 6.83768561375;http://lod.opentransportdata.swiss/didok/8504218
BZ;Bressonnaz;2014-01-01;50;50.0;CFF;;;
HM;Hüttlingen-Mettendorf;2014-01-01;170;190.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.5823394904, 8.97453911285;http://lod.opentransportdata.swiss/didok/8506102
HET;Hettlingen;2014-01-01;650;750.0;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5454376137, 8.69481326415;http://lod.opentransportdata.swiss/didok/8506045
HPT;Hauptwil;2014-01-01;250;290.0;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.4768608536, 9.25157587262;http://lod.opentransportdata.swiss/didok/8506212
MATT;Hergiswil Matt;2014-01-01;70;100.0;ZB;;46.9936310359, 8.31271109334;http://lod.opentransportdata.swiss/didok/8508320
KPT;Kempraten;2014-01-01;850;990.0;SBB;;47.2383929337, 8.81429184846;http://lod.opentransportdata.swiss/didok/8503112
HED;Hedingen;2014-01-01;2200;2600.0;SBB;;47.2987825148, 8.44595351443;http://lod.opentransportdata.swiss/didok/8502223
IT;Itingen;2014-01-01;1000;1200.0;SBB;;47.4672660009, 7.78720690694;http://lod.opentransportdata.swiss/didok/8500025
HW;Horw;2014-01-01;2000;2400.0;ZB;;47.017477083, 8.30697000723;http://lod.opentransportdata.swiss/didok/8508319
EW;Etzwilen;2014-01-01;190;200.0;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6611436806, 8.81859374588;http://lod.opentransportdata.swiss/didok/8506025
FRI;Fribourg/Freiburg;2014-01-01;21600;25100.0;CFF;Ohne TPF.;46.8032670642, 7.15102324519;http://lod.opentransportdata.swiss/didok/8504100
GM;Granges-Marnand;2014-01-01;360;440.0;CFF;;46.7588357696, 6.89428928731;http://lod.opentransportdata.swiss/didok/8504122
GUN;Guntershausen;2014-01-01;370;420.0;SBB;;47.4741351028, 8.91701626605;http://lod.opentransportdata.swiss/didok/8506012
GSK;Gisikon-Root;2014-01-01;1000;1200.0;SBB;;47.1213263146, 8.39477668629;http://lod.opentransportdata.swiss/didok/8502201
