PLZ To	PLZ Name	Count	percent	cups_pday	cups_pday_segment
1000	Lausanne	15.714285714285714	8.957800615645206e-05	43	1-50
1003	Lausanne	533.5714285714286	0.003041580481766804	1445	200-1k
1004	Lausanne	207.5	0.0011828368540204237	562	200-1k
1005	Lausanne	178.85714285714286	0.001019560579162527	484	50-200
1006	Lausanne	380.14285714285717	0.0021669734034756266	1029	200-1k
1007	Lausanne	192.85714285714283	0.0010993664391928206	522	50-200
1008	Jouxtens-Mézery Prilly	50.92857142857143	0.000290314174497956	138	50-200
1009	Pully	121.64285714285715	0.0006934152022019904	329	50-200
1010	Lausanne	55.07142857142857	0.00031393019430283876	149	50-200
1011	Lausanne	7.5	4.275313930194303e-05	20	1-50
1012	Lausanne	68.07142857142857	0.00038803563575954	184	50-200
1015	Lausanne	38.57142857142857	0.00021987328783856414	104	1-50
1018	Lausanne	65.14285714285714	0.0003713415527940194	176	50-200
1020	Renens (VD)	84.14285714285714	0.00047964950569227507	228	50-200
1022	Chavannes-près-Renens	35.714285714285715	0.00020358637762830014	97	1-50
1023	Crissier	39.214285714285715	0.00022353784263587354	106	1-50
1024	Ecublens (VD)	39.57142857142857	0.00022557370641215654	107	1-50
1025	Saint-Sulpice (VD)	16.642857142857142	9.487125197478786e-05	45	1-50
1026	Denges Echandens	12.357142857142858	7.044088665939185e-05	33	1-50
1027	Lonay	9.714285714285714	5.537549471489763e-05	26	1-50
1028	Préverenges	12.642857142857142	7.206957768041825e-05	34	1-50
1029	Villars-Sainte-Croix	3.2857142857142856	1.8729946741803612e-05	9	1-50
1030	Bussigny	30.071428571428573	0.0001714197299630287	81	1-50
1031	Mex (VD)	2.0	1.1400837147184808e-05	5	1-50
1032	Romanel-sur-Lausanne	7.928571428571429	4.5196175833482634e-05	21	1-50
1033	Cheseaux-sur-Lausanne	12.071428571428571	6.881219563836544e-05	33	1-50
1040	Echallens Saint-Barthélemy (VD) Villars-le-Terroir	6.928571428571429	3.9495757259890225e-05	19	1-50
1041	Bottens Jorat-Menthue Montilliez Poliez-Pittet	2.642857142857143	1.506539194449421e-05	7	1-50
1042	Assens Bettens Bioley-Orjulaz	1.7857142857142858	1.0179318881415007e-05	5	1-50
1052	Le Mont-sur-Lausanne	38.0	0.00021661590579651134	103	1-50
1053	Bretigny-sur-Morrens Cugy (VD)	8.571428571428571	4.886073063079203e-05	23	1-50
1054	Morrens (VD)	1.5	8.550627860388605e-06	4	1-50
1055	Froideville	1.5714285714285714	8.957800615645206e-06	4	1-50
1066	Epalinges	40.07142857142857	0.00022842391569895273	109	1-50
1068	Pully	3.2857142857142856	1.8729946741803612e-05	9	1-50
1070	Puidoux	26.5	0.0001510610922001987	72	1-50
1071	Chexbres Rivaz Saint-Saphorin (Lavaux)	18.357142857142858	0.00010464339810094627	50	1-50
1072	Forel (Lavaux)	4.928571428571429	2.809492011270542e-05	13	1-50
1073	Savigny	4.071428571428571	2.3208847049626213e-05	11	1-50
1085	Vulliens	1.8571428571428572	1.0586491636671606e-05	5	1-50
1090	Lutry	8.428571428571429	4.8046385120278835e-05	23	1-50
1091	Bourg-en-Lavaux	9.428571428571429	5.374680369387124e-05	26	1-50
1092	Belmont-sur-Lausanne	27.785714285714285	0.0001583902017948175	75	1-50
1093	Lutry	11.357142857142858	6.474046808579944e-05	31	1-50
1094	Paudex	9.214285714285714	5.252528542810143e-05	25	1-50
1095	Lutry	31.714285714285715	0.00018078470333393053	86	1-50
1096	Bourg-en-Lavaux	3.857142857142857	2.1987328783856414e-05	10	1-50
1097	Bourg-en-Lavaux	4.785714285714286	2.7280574602192216e-05	13	1-50
1098	Bourg-en-Lavaux	4.357142857142857	2.4837538070652615e-05	12	1-50
1110	Morges	61.57142857142858	0.00035098291503118945	167	50-200
1123	Aclens	4.642857142857143	2.6466229091679018e-05	13	1-50
1124	Gollion	2.357142857142857	1.343670092346781e-05	6	1-50
1131	Tolochenaz	5.357142857142857	3.053795664424502e-05	15	1-50
1132	Lully (VD)	2.0714285714285716	1.1808009902441408e-05	6	1-50
1134	Chigny Vufflens-le-Château	4.571428571428571	2.6059056336422414e-05	12	1-50
1135	Denens	2.2142857142857144	1.262235541295461e-05	6	1-50
1136	Bussy-Chardonney	1.9285714285714286	1.0993664391928207e-05	5	1-50
1145	Bière	15.142857142857142	8.632062411439925e-05	41	1-50
1162	Saint-Prex	17.285714285714285	9.853580677209725e-05	47	1-50
1163	Etoy	10.5	5.9854395022720236e-05	28	1-50
1164	Buchillon	4.857142857142857	2.7687747357448816e-05	13	1-50
1165	Allaman	5.285714285714286	3.013078388898842e-05	14	1-50
1166	Perroy	3.9285714285714284	2.2394501539113015e-05	11	1-50
1169	Yens	3.7857142857142856	2.1580156028599813e-05	10	1-50
1170	Aubonne	13.428571428571429	7.654847798824085e-05	36	1-50
1173	Féchy	3.0714285714285716	1.7508428476033814e-05	8	1-50
1180	Rolle Tartegnin	16.5	9.405690646427466e-05	45	1-50
1182	Gilly	2.142857142857143	1.2215182657698007e-05	6	1-50
1183	Bursins	5.428571428571429	3.094512939950162e-05	15	1-50
1184	Luins Vinzel	7.357142857142857	4.193879379142982e-05	20	1-50
1185	Mont-sur-Rolle	9.285714285714286	5.2932458183358036e-05	25	1-50
1195	Bursinel Dully	3.9285714285714284	2.2394501539113015e-05	11	1-50
1196	Gland	48.35714285714286	0.0002756559553087184	131	1-50
1197	Prangins	16.785714285714285	9.568559748530105e-05	45	1-50
1201	Genève	489.64285714285717	0.002791169237283995	1326	200-1k
1202	Genève	221.85714285714286	0.0012646785778270004	601	200-1k
1203	Genève	55.5	0.0003163732308343784	150	50-200
1204	Genève	183.0	0.0010431765989674098	496	50-200
1205	Genève	122.0	0.0006954510659782732	330	50-200
1206	Genève	54.642857142857146	0.0003114871577712992	148	50-200
1207	Genève	58.785714285714285	0.000335103177576182	159	50-200
1208	Genève	20.428571428571427	0.00011645140800338767	55	1-50
1209	Genève	19.214285714285715	0.00010952947116402548	52	1-50
1212	Lancy	19.571428571428573	0.00011156533494030849	53	1-50
1213	Lancy Onex	49.214285714285715	0.0002805420283717976	133	1-50
1214	Vernier	30.357142857142858	0.00017304842098405513	82	1-50
1215	Le Grand-Saconnex	166.5	0.0009491196925031352	451	50-200
1216	Meyrin	26.857142857142858	0.0001530969559764817	73	1-50
1217	Meyrin	59.285714285714285	0.0003379533868629782	161	50-200
1218	Le Grand-Saconnex	125.0	0.0007125523216990504	339	50-200
1219	Vernier	48.07142857142857	0.000274027264287692	130	1-50
1220	Vernier	14.142857142857142	8.062020554080685e-05	38	1-50
1222	Collonge-Bellerive	5.285714285714286	3.013078388898842e-05	14	1-50
1223	Cologny	8.571428571428571	4.886073063079203e-05	23	1-50
1224	Chêne-Bougeries	16.285714285714285	9.283538819850485e-05	44	1-50
1227	Carouge (GE) Genève	90.07142857142857	0.0005134448443785729	244	50-200
1228	Plan-les-Ouates	14.428571428571429	8.224889656183325e-05	39	1-50
1231	Chêne-Bougeries	6.642857142857143	3.786706623886383e-05	18	1-50
1232	Confignon	7.071428571428571	4.0310102770403426e-05	19	1-50
1233	Bernex	11.0	6.270460430951644e-05	30	1-50
1234	Veyrier	6.071428571428571	3.4609684196811024e-05	16	1-50
1237	Avully	10.785714285714286	6.148308604374664e-05	29	1-50
1239	Collex-Bossy	8.428571428571429	4.8046385120278835e-05	23	1-50
1242	Satigny	19.428571428571427	0.00011075098942979527	53	1-50
1256	Troinex	1.7857142857142858	1.0179318881415007e-05	5	1-50
1260	Nyon	94.78571428571429	0.0005403182462255085	257	50-200
1262	Eysins	5.785714285714286	3.298099317578462e-05	16	1-50
1263	Crassier	4.357142857142857	2.4837538070652615e-05	12	1-50
1264	Saint-Cergue	2.2857142857142856	1.3029528168211207e-05	6	1-50
1266	Duillier	5.0	2.8502092867962018e-05	14	1-50
1267	Coinsins Vich	2.4285714285714284	1.3843873678724408e-05	7	1-50
1268	Begnins Burtigny	3.642857142857143	2.0765810518086612e-05	10	1-50
1269	Bassins	1.8571428571428572	1.0586491636671606e-05	5	1-50
1270	Trélex	3.5714285714285716	2.0358637762830015e-05	10	1-50
1271	Givrins	1.5714285714285714	8.957800615645206e-06	4	1-50
1272	Genolier	5.785714285714286	3.298099317578462e-05	16	1-50
